,player_name,total_points,position
0,James Harden,2058.5999999999995,PG
0,James Harden,2058.5999999999995,SG
1,Anthony Davis,2058.5999999999995,PF
1,Anthony Davis,2058.5999999999995,C
2,Karl-Anthony Towns,1984.5,C
3,Damian Lillard,1738.5,PG
4,Stephen Curry,1544.6000000000001,PG
4,Stephen Curry,1544.6000000000001,SG
5,Nikola Jokic,1940.4000000000003,PF
5,Nikola Jokic,1940.4000000000003,C
6,Devin Booker,1526.0,SG
6,Devin Booker,1526.0,SF
7,Trae Young,1587.8,PG
8,Luka Doncic,1952.5,PG
8,Luka Doncic,1952.5,SG
9,Kawhi Leonard,1623.0,SG
9,Kawhi Leonard,1623.0,SF
10,Giannis Antetokounmpo,2311.5,PF
10,Giannis Antetokounmpo,2311.5,C
11,Jayson Tatum,1613.5,SF
11,Jayson Tatum,1613.5,PF
12,Deandre Ayton,1747.7,C
13,Kyrie Irving,1388.9999999999998,PG
14,Joel Embiid,1650.6000000000001,PF
14,Joel Embiid,1650.6000000000001,C
15,Paul George,1360.1,SF
15,Paul George,1360.1,PF
16,Bam Adebayo,1705.1000000000004,PF
16,Bam Adebayo,1705.1000000000004,C
17,Nikola Vucevic,1756.8,C
18,Jimmy Butler,1526.3000000000002,SF
18,Jimmy Butler,1526.3000000000002,PF
19,Khris Middleton,1397.7,SF
19,Khris Middleton,1397.7,PF
20,Zach LaVine,1336.1,SG
20,Zach LaVine,1336.1,SF
21,Donovan Mitchell,1374.8,PG
21,Donovan Mitchell,1374.8,SG
22,Rudy Gobert,1844.0000000000002,C
23,DeMar DeRozan,1472.7999999999997,SG
23,DeMar DeRozan,1472.7999999999997,SF
24,John Collins,1415.8000000000002,PF
24,John Collins,1415.8000000000002,C
25,Shai Gilgeous-Alexander,1477.0,SG
25,Shai Gilgeous-Alexander,1477.0,SF
26,Russell Westbrook,1663.1000000000006,PG
27,LeBron James,1598.1000000000001,PG
27,LeBron James,1598.1000000000001,SG
27,LeBron James,1598.1000000000001,SF
28,Kevin Durant,1233.2000000000005,SF
28,Kevin Durant,1233.2000000000005,PF
29,Andre Drummond,1609.3,C
30,Fred VanVleet,1298.6,PG
30,Fred VanVleet,1298.6,SG
31,Ben Simmons,1572.4000000000003,PG
32,Jusuf Nurkic,1407.6000000000001,C
33,Jamal Murray,1202.1999999999998,PG
33,Jamal Murray,1202.1999999999998,SG
34,Brook Lopez,1150.3999999999999,C
35,Myles Turner,1264.1999999999998,PF
35,Myles Turner,1264.1999999999998,C
36,Pascal Siakam,1387.0999999999997,PF
36,Pascal Siakam,1387.0999999999997,C
37,Jonas Valanciunas,1454.6000000000001,C
38,Bradley Beal,1194.6,SG
38,Bradley Beal,1194.6,SF
39,Chris Paul,1203.7000000000003,PG
40,Christian Wood,1431.8999999999999,PF
40,Christian Wood,1431.8999999999999,C
41,Brandon Clarke,1295.8999999999996,SF
41,Brandon Clarke,1295.8999999999996,PF
42,Collin Sexton,1175.3000000000002,PG
42,Collin Sexton,1175.3000000000002,SG
43,D'Angelo Russell,1165.7,PG
43,D'Angelo Russell,1165.7,SG
44,Ja Morant,1245.4999999999998,PG
45,Kyle Lowry,1152.0,PG
46,Tobias Harris,1418.2000000000003,SF
46,Tobias Harris,1418.2000000000003,PF
47,Domantas Sabonis,1538.3000000000002,PF
47,Domantas Sabonis,1538.3000000000002,C
48,Kristaps Porzingis,1315.1999999999998,PF
48,Kristaps Porzingis,1315.1999999999998,C
49,Robert Covington,1092.6000000000001,PF
49,Robert Covington,1092.6000000000001,C
50,Brandon Ingram,1126.3999999999996,SF
50,Brandon Ingram,1126.3999999999996,PF
51,Jaylen Brown,1301.3000000000002,SG
51,Jaylen Brown,1301.3000000000002,SF
52,Buddy Hield,1085.0,SG
53,De'Aaron Fox,1347.6999999999998,PG
54,Derrick White,1102.2,PG
54,Derrick White,1102.2,SG
55,Mitchell Robinson,1297.6,C
56,Dejounte Murray,1147.1000000000001,PG
56,Dejounte Murray,1147.1000000000001,SG
57,Mikal Bridges,1006.2,SG
57,Mikal Bridges,1006.2,SF
58,CJ McCollum,1196.7,PG
58,CJ McCollum,1196.7,SG
59,Richaun Holmes,1181.8,PF
59,Richaun Holmes,1181.8,C
60,Jrue Holiday,1079.8,PG
60,Jrue Holiday,1079.8,SG
61,Daniel Theis,1193.5,C
62,Wendell Carter,1306.9999999999998,C
63,LaMarcus Aldridge,1144.4,PF
63,LaMarcus Aldridge,1144.4,C
64,Jarrett Allen,1392.3,C
65,Lonzo Ball,1102.8000000000002,PG
65,Lonzo Ball,1102.8000000000002,SG
66,Jaren Jackson,1051.6999999999998,PF
66,Jaren Jackson,1051.6999999999998,C
67,Duncan Robinson,942.1999999999998,SG
67,Duncan Robinson,942.1999999999998,SF
68,Malcolm Brogdon,1069.3,PG
68,Malcolm Brogdon,1069.3,SG
69,Thomas Bryant,1129.8000000000002,C
70,Bojan Bogdanovic,897.2999999999998,SF
70,Bojan Bogdanovic,897.2999999999998,PF
71,Draymond Green,1064.2,PF
71,Draymond Green,1064.2,C
72,Al Horford,1140.7,PF
72,Al Horford,1140.7,C
73,Elfrid Payton,1153.8,PG
74,Maxi Kleber,1019.2,PF
74,Maxi Kleber,1019.2,C
75,Ivica Zubac,1265.4,C
76,OG Anunoby,1021.9999999999999,SF
76,OG Anunoby,1021.9999999999999,PF
77,T.J. Warren,1057.8000000000002,SF
77,T.J. Warren,1057.8000000000002,PF
78,Eric Bledsoe,1025.5,PG
78,Eric Bledsoe,1025.5,SG
79,Marcus Smart,961.4000000000001,PG
79,Marcus Smart,961.4000000000001,SG
80,Delon Wright,1028.8000000000002,SG
80,Delon Wright,1028.8000000000002,SF
81,Gordon Hayward,1088.2,SG
81,Gordon Hayward,1088.2,SF
82,Steven Adams,1320.1999999999998,C
83,Jerami Grant,1040.9,SF
83,Jerami Grant,1040.9,PF
84,Michael Porter,1019.5,SF
84,Michael Porter,1019.5,PF
85,Evan Fournier,929.9000000000001,SG
85,Evan Fournier,929.9000000000001,SF
86,Josh Richardson,863.9000000000001,SG
86,Josh Richardson,863.9000000000001,SF
87,Zion Williamson,1386.0,PF
88,Terry Rozier,882.6999999999998,PG
89,Markelle Fultz,1029.7,PG
89,Markelle Fultz,1029.7,SG
90,Clint Capela,1229.5000000000002,C
91,Lou Williams,922.8000000000002,PG
91,Lou Williams,922.8000000000002,SG
92,Nerlens Noel,934.3000000000002,PF
92,Nerlens Noel,934.3000000000002,C
93,Kelly Oubre,1041.1,SF
93,Kelly Oubre,1041.1,PF
94,DeAndre Jordan,1175.6,C
95,PJ Washington,1068.2,SF
95,PJ Washington,1068.2,PF
96,Hassan Whiteside,1101.0,PF
96,Hassan Whiteside,1101.0,C
97,Nemanja Bjelica,969.5,PF
98,Victor Oladipo,918.0,SG
98,Victor Oladipo,918.0,SF
99,Devonte' Graham,898.1,PG
99,Devonte' Graham,898.1,SG
100,Rui Hachimura,1106.9,SF
100,Rui Hachimura,1106.9,PF
101,Derrick Rose,876.8,PG
101,Derrick Rose,876.8,SG
102,JJ Redick,825.3,SG
103,Norman Powell,835.0,SG
103,Norman Powell,835.0,SF
104,Aaron Gordon,1238.0,SF
104,Aaron Gordon,1238.0,PF
105,Miles Bridges,982.8000000000002,SF
105,Miles Bridges,982.8000000000002,PF
106,Serge Ibaka,1049.6000000000001,PF
106,Serge Ibaka,1049.6000000000001,C
107,Coby White,941.5000000000002,PG
107,Coby White,941.5000000000002,SG
108,Darius Bazley,934.6,SF
108,Darius Bazley,934.6,PF
109,Donte DiVincenzo,913.2999999999997,PG
109,Donte DiVincenzo,913.2999999999997,SG
110,JaVale McGee,923.6,C
111,Kevin Love,910.3,PF
111,Kevin Love,910.3,C
112,Terrence Ross,855.5999999999999,SG
112,Terrence Ross,855.5999999999999,SF
113,Jordan Clarkson,837.6000000000003,PG
113,Jordan Clarkson,837.6000000000003,SG
114,Will Barton,969.6,SG
114,Will Barton,969.6,SF
115,Kevon Looney,952.3000000000001,PF
115,Kevon Looney,952.3000000000001,C
116,P.J. Tucker,925.0999999999999,PF
116,P.J. Tucker,925.0999999999999,C
117,Darius Garland,697.1999999999999,PG
118,Julius Randle,1150.8000000000002,PF
118,Julius Randle,1150.8000000000002,C
119,Mike Conley,871.2000000000002,PG
120,Joe Harris,835.8000000000001,SG
120,Joe Harris,835.8000000000001,SF
121,Killian Hayes,816.5999999999999,PG
121,Killian Hayes,816.5999999999999,SG
122,Seth Curry,792.5000000000001,PG
122,Seth Curry,792.5000000000001,SG
123,Bogdan Bogdanovic,823.9000000000001,SG
123,Bogdan Bogdanovic,823.9000000000001,SF
123,Bogdan Bogdanovic,823.9000000000001,PF
124,Tyler Herro,844.6999999999999,PG
124,Tyler Herro,844.6999999999999,SG
124,Tyler Herro,844.6999999999999,SF
125,Harrison Barnes,977.9000000000002,SF
125,Harrison Barnes,977.9000000000002,PF
126,Royce O'Neale,871.4999999999999,SF
126,Royce O'Neale,871.4999999999999,PF
127,Dwight Powell,1018.6,PF
127,Dwight Powell,1018.6,C
128,John Wall,787.0999999999999,PG
129,Montrezl Harrell,1118.4999999999998,PF
129,Montrezl Harrell,1118.4999999999998,C
130,Malik Beasley,761.5999999999999,PG
130,Malik Beasley,761.5999999999999,SG
131,Dorian Finney-Smith,887.6,SF
131,Dorian Finney-Smith,887.6,PF
132,Ricky Rubio,804.3,PG
133,Joe Ingles,790.0,SG
133,Joe Ingles,790.0,SF
134,Kemba Walker,768.1,PG
135,Andrew Wiggins,966.3000000000001,SG
135,Andrew Wiggins,966.3000000000001,SF
136,Kevin Porter,782.5999999999999,SG
136,Kevin Porter,782.5999999999999,SF
137,Lauri Markkanen,863.0,PF
137,Lauri Markkanen,863.0,C
138,Davis Bertans,789.6000000000001,PF
138,Davis Bertans,789.6000000000001,C
139,James Wiseman,1012.8,C
140,Tyrese Haliburton,749.4,PG
140,Tyrese Haliburton,749.4,SG
141,Paul Millsap,834.0,PF
141,Paul Millsap,834.0,C
142,Tim Hardaway,834.1999999999997,SG
142,Tim Hardaway,834.1999999999997,SF
143,Marc Gasol,853.8,C
144,Dennis Schroder,790.3999999999999,PG
145,Danilo Gallinari,759.7,SF
145,Danilo Gallinari,759.7,PF
146,LaMelo Ball,891.3999999999997,PG
146,LaMelo Ball,891.3999999999997,SG
147,Patrick Beverley,833.9999999999998,PG
147,Patrick Beverley,833.9999999999998,SG
148,Aaron Holiday,757.1999999999999,PG
149,Marvin Bagley,931.3,PF
149,Marvin Bagley,931.3,C
150,Gary Harris,754.3999999999999,SG
150,Gary Harris,754.3999999999999,SF
151,Troy Brown,892.5000000000002,SG
151,Troy Brown,892.5000000000002,SF
152,Danny Green,723.0999999999999,SG
152,Danny Green,723.0999999999999,SF
153,Blake Griffin,935.5000000000001,PF
153,Blake Griffin,935.5000000000001,C
154,Josh Okogie,768.3,SG
154,Josh Okogie,768.3,SF
155,Aron Baynes,897.2000000000003,C
156,Cam Reddish,695.6000000000001,SF
156,Cam Reddish,695.6000000000001,PF
157,Mo Bamba,799.0000000000001,C
158,Obi Toppin,893.8,SF
158,Obi Toppin,893.8,PF
159,Matisse Thybulle,622.0,SG
159,Matisse Thybulle,622.0,SF
160,Svi Mykhailiuk,676.7000000000002,SF
161,Larry Nance,775.1999999999999,PF
161,Larry Nance,775.1999999999999,C
162,Spencer Dinwiddie,803.8000000000002,PG
162,Spencer Dinwiddie,803.8000000000002,SG
163,Dillon Brooks,807.1000000000001,SG
163,Dillon Brooks,807.1000000000001,SF
164,Tomas Satoransky,698.0999999999998,PG
164,Tomas Satoransky,698.0999999999998,SG
165,Frank Ntilikina,658.3000000000001,PG
165,Frank Ntilikina,658.3000000000001,SG
166,Kevin Huerter,691.3000000000001,SG
166,Kevin Huerter,691.3000000000001,SF
167,Cody Zeller,874.7,C
168,De'Anthony Melton,731.7,PG
168,De'Anthony Melton,731.7,SG
169,Gary Trent,567.6000000000001,SG
169,Gary Trent,567.6000000000001,SF
170,Monte Morris,743.1,PG
170,Monte Morris,743.1,SG
171,Otto Porter,712.5,SF
171,Otto Porter,712.5,PF
172,Jeremy Lamb,718.3999999999999,SG
172,Jeremy Lamb,718.3999999999999,SF
173,James Johnson,702.0,PF
173,James Johnson,702.0,C
174,Eric Paschall,825.9,SF
174,Eric Paschall,825.9,PF
175,Trevor Ariza,629.4999999999999,SG
175,Trevor Ariza,629.4999999999999,SF
176,Luguentz Dort,681.1,SG
176,Luguentz Dort,681.1,SF
177,Langston Galloway,632.7,PG
177,Langston Galloway,632.7,SG
178,Thaddeus Young,696.2000000000002,PF
179,Jeff Teague,625.0999999999999,PG
179,Jeff Teague,625.0999999999999,SG
180,Anthony Edwards,725.5999999999999,SG
181,Cameron Johnson,632.8999999999999,SF
181,Cameron Johnson,632.8999999999999,PF
182,Kendrick Nunn,655.8,PG
182,Kendrick Nunn,655.8,SG
183,RJ Barrett,943.1,SG
183,RJ Barrett,943.1,SF
184,Derrick Favors,822.6000000000001,PF
184,Derrick Favors,822.6000000000001,C
185,Dario Saric,705.6000000000001,PF
185,Dario Saric,705.6000000000001,C
186,Danuel House,687.2000000000002,SF
186,Danuel House,687.2000000000002,PF
187,Tristan Thompson,937.5,PF
187,Tristan Thompson,937.5,C
188,Derrick Jones,737.0,SG
188,Derrick Jones,737.0,SF
189,Shake Milton,646.8000000000002,PG
189,Shake Milton,646.8000000000002,SG
190,JaMychal Green,721.6000000000001,PF
190,JaMychal Green,721.6000000000001,C
191,Jaxson Hayes,828.3000000000002,C
192,Kyle Kuzma,750.8999999999999,SF
192,Kyle Kuzma,750.8999999999999,PF
193,Deni Avdija,684.0000000000001,SG
193,Deni Avdija,684.0000000000001,SF
194,Cedi Osman,637.3,SF
194,Cedi Osman,637.3,PF
195,Mason Plumlee,901.2,PF
195,Mason Plumlee,901.2,C
196,George Hill,641.3000000000001,PG
196,George Hill,641.3000000000001,SG
197,Terence Davis,596.4000000000001,SG
197,Terence Davis,596.4000000000001,SF
198,Moritz Wagner,609.0999999999999,PF
198,Moritz Wagner,609.0999999999999,C
199,Michael Carter-Williams,582.8000000000001,PG
199,Michael Carter-Williams,582.8000000000001,SG
200,Isaac Okoro,660.7,SF
201,Onyeka Okongwu,568.1999999999999,PF
201,Onyeka Okongwu,568.1999999999999,C
202,Jalen Brunson,629.1999999999999,PG
202,Jalen Brunson,629.1999999999999,SG
203,Caris LeVert,728.6,SG
203,Caris LeVert,728.6,SF
204,James Ennis,678.5000000000001,SG
204,James Ennis,678.5000000000001,SF
205,Furkan Korkmaz,598.2,SG
206,Gorgui Dieng,609.5,PF
206,Gorgui Dieng,609.5,C
207,Anfernee Simons,570.0,PG
207,Anfernee Simons,570.0,SG
208,Josh Hart,685.1999999999999,SG
208,Josh Hart,685.1999999999999,SF
209,Kelly Olynyk,589.5,PF
209,Kelly Olynyk,589.5,C
210,Brad Wanamaker,481.5,PG
210,Brad Wanamaker,481.5,SG
211,Enes Kanter,714.5,C
212,Juancho Hernangomez,797.4,PF
212,Juancho Hernangomez,797.4,C
213,Jarrett Culver,716.1,PG
213,Jarrett Culver,716.1,SG
214,Alec Burks,612.5999999999999,SG
214,Alec Burks,612.5999999999999,SF
215,Andre Iguodala,532.7,SG
