R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL,FGA,FGM,FTA,FTM
1,"James Harden Harden's the clear number 1 option if he stays in Houston and he's motivated, but right now his motivation is being questioned. I won't blame you for taking somebody else with the number 1 pick","PG,SG",HOU,64,36.3,0.448 (619.5/1381.8),0.865 (666.9/771.2),300.8,2206.7,425.0,533.1,115.8,58.2,293.8,16.61,1381.8,619.5,771.2,666.9
2,Anthony Davis If LeBron misses time early it'll be the Anthony Davis show in LA. Has an elite fantasy game and an ever improving 3-point shot,"PF,C",LAL,65,34.8,0.503 (585.0/1164.2),0.847 (473.2/559.0),85.8,1729.7,611.7,210.6,98.8,151.5,164.5,14.24,1164.2,585.0,559.0,473.2
3,Karl-Anthony Towns An elite fantasy player who managed to up his three-pointers made from 1.8 to 3.3 per-game without hurting his FG%. Should be happier on the court with his close friend D'Angelo Russell on the roster,C,MIN,69,33.1,0.501 (581.0/1158.5),0.804 (346.4/430.6),224.3,1732.6,765.2,257.4,75.9,104.9,235.3,13.03,1158.5,581.0,430.6,346.4
4,"Damian Lillard Continues to return top-5 value, but is often not taken until the end of the first round",PG,POR,67,35.9,0.456 (600.3/1315.2),0.897 (456.9/509.2),265.3,1922.9,279.4,515.2,75.0,17.4,198.3,11.89,1315.2,600.3,509.2,456.9
5,"Stephen Curry Steph is a career 47.6% shooter from the field, so the 40.2% from last season (5 game sample size) was an outlier","PG,SG",GSW,65,33.1,0.459 (520.7/1134.3),0.911 (399.8/438.8),263.9,1705.0,352.3,416.7,76.7,30.6,245.7,11.29,1134.3,520.7,438.8,399.8
6,"Nikola Jokic Skinny Jokic is a baller, but cevapi remains undefeated, so we'll see how he looks coming into next season. Still a top-10 player in any format, regardless of weight","PF,C",DEN,70,32.3,0.519 (553.7/1066.1),0.819 (247.8/302.4),86.8,1442.0,722.4,511.0,91.7,51.1,226.8,11.15,1066.1,553.7,302.4,247.8
7,Devin Booker His game keeps on getting better every season. Finished 12th in per-game value last season so if you can get him in the second-round then you've got yourself a steal,"SG,SF",PHX,70,35.6,0.475 (623.0/1312.5),0.916 (466.9/509.6),154.0,1867.6,297.5,452.9,60.9,21.0,261.8,10.53,1312.5,623.0,509.6,466.9
8,Trae Young The addition of Capela means more assists. Expect another strong season as Young continues to develop into a fantasy first-round staple,PG,ATL,68,34.1,0.443 (529.7/1194.8),0.866 (531.8/614.0),233.9,1825.1,238.0,652.8,68.7,6.8,265.9,10.17,1194.8,529.7,614.0,531.8
9,Luka Doncic Went from being a liability in both shooting %s in his rookie season to shooting 46.3% from FG% and 75.8% from FT% in his second season. If he can edge his FT% up a little he'll be an early to mid-first-round guy for seasons to come.,"PG,SG",DAL,67,34.1,0.465 (645.9/1387.6),0.768 (483.1/629.1),195.0,1969.8,637.8,606.4,73.7,20.8,281.4,9.14,1387.6,645.9,629.1,483.1
10,"Kawhi Leonard An elite per-game fantasy player. His on-going knee issues might be an issue in a compacted fantasy schedule, but he'll still be a top-8 fantasy player","SG,SF",LAC,60,32.1,0.475 (559.8/1179.0),0.868 (367.2/423.0),130.8,1617.0,414.6,290.4,106.8,35.4,154.2,9.07,1179.0,559.8,423.0,367.2
11,"Giannis Antetokounmpo His FT% almost dipped down to his FG% last season, but if you're drafting Giannis you're punting FT%, and he's the best fantasy player in punt FT% builds","PF,C",MIL,69,30.8,0.546 (744.5/1363.4),0.664 (458.2/690.0),111.8,2059.0,950.8,391.2,69.7,69.7,258.8,8.94,1363.4,744.5,690.0,458.2
12,"Jayson Tatum Improved his scoring from 15,7 to 23.4, and if his playoff run was anything to go by he's due for another small increase as he becomes the focus on the offensive end.","SF,PF",BOS,70,34.6,0.453 (602.0/1328.6),0.813 (273.7/336.7),210.7,1688.4,497.7,238.0,98.7,59.5,168.7,8.19,1328.6,602.0,336.7,273.7
13,"Deandre Ayton Has the potential to be a top-25 player this season if he can up his output in any of his negative value categories (3PM, AST, or STL)",C,PHX,67,32.5,0.553 (562.8/1018.4),0.760 (140.0/184.3),14.1,1279.7,781.2,133.3,54.9,109.2,137.4,8.16,1018.4,562.8,184.3,140.0
14,"Kyrie Irving The talent is always going to be there, it's just a matter of whether he can stay on the court.",PG,BRO,60,32.2,0.479 (539.4/1125.6),0.914 (249.6/273.0),147.6,1477.2,249.0,363.6,79.2,28.2,153.0,7.55,1125.6,539.4,273.0,249.6
15,Joel Embiid He's a top fantasy player when he's switched on. Target him in a trade when he has a stretch of lower than expected output. Still a top-15 guy,"PF,C",PHI,60,30.7,0.478 (468.6/980.4),0.811 (430.8/531.0),68.4,1436.4,729.0,187.2,56.4,92.4,193.8,7.43,980.4,468.6,531.0,430.8
16,"Paul George His value is running low after a lackluster playoff performance. A much better performer during the regular season, which is what counts for fantasy basketball","SF,PF",LAC,63,33.2,0.432 (498.3/1154.8),0.875 (281.0/321.3),231.8,1509.5,400.7,246.3,104.6,27.7,182.1,7.10,1154.8,498.3,321.3,281.0
17,Bam Adebayo The Bam break-out happened last season. Expect the offense to continue running through his hands as he establishes himself as a top-30 fantasy player,"PF,C",MIA,65,34.5,0.565 (451.1/798.9),0.720 (259.4/360.1),0.0,1160.9,699.4,346.5,74.8,88.4,189.8,7.09,798.9,451.1,360.1,259.4
18,"Nikola Vucevic His membership has been revoked from the 1-1-1 club (averaging 1 3-pointer, 1 steal, and 1 block), but he's working on getting it back",C,ORL,69,31.6,0.488 (541.7/1110.9),0.792 (142.1/179.4),121.4,1346.9,731.4,243.6,60.7,54.5,94.5,7.01,1110.9,541.7,179.4,142.1
19,"Jimmy Butler Butler seems to be in a happy place with the hard-working Heat. He seems more willing to share the workload, which doesn't bode well for fantasy output. Still, somebody to target at the end of the second round","SF,PF",MIA,64,33.4,0.454 (375.7/828.2),0.835 (480.6/575.4),50.6,1283.2,417.3,379.5,113.9,37.8,154.9,6.93,828.2,375.7,575.4,480.6
20,"Khris Middleton Shot 3% above his second-best FG% season, so it's questionable whether he'll be able to sustain shooting at 49.7% from the field, but he has an uber-friendly fantasy game even if he doesn't","SF,PF",MIL,67,31.1,0.473 (496.5/1050.6),0.904 (233.2/258.0),167.5,1392.3,432.2,299.5,73.0,6.7,153.4,6.56,1050.6,496.5,258.0,233.2
21,"Zach LaVine It's debatable whether LaVine is a good-stats-bad-team guy, but you can't deny the numbers he's putting up and should continue to flirt with top 30-40 value this season.","SG,SF",CHI,68,35.0,0.454 (611.3/1347.1),0.806 (301.9/374.7),211.5,1736.0,327.1,285.6,95.2,34.0,231.2,6.41,1347.1,611.3,374.7,301.9
22,"Donovan Mitchell Has a great playoff performance and should continue to improve his fantasy output this season, but his lack of defensive numbers limit his ability to return top-25 value","PG,SG",UTA,70,34.9,0.453 (651.7/1437.1),0.852 (293.3/344.4),193.2,1789.9,322.7,332.5,77.0,14.7,208.6,6.35,1437.1,651.7,344.4,293.3
23,"Rudy Gobert Sometimes players have the reputation of being such a good defender, that teams shoot less around them, and that's what's happening to Gobert. He's still an elite shot-blocker",C,UTA,67,34.8,0.695 (387.3/557.4),0.626 (251.3/401.3),0.0,1026.4,917.9,101.8,47.6,140.7,129.3,6.34,557.4,387.3,401.3,251.3
24,DeMar DeRozan Still manages to be a top-50 fantasy producer even though he refuses to attempt three-point shots,"SG,SF",SAS,70,33.6,0.506 (537.6/1061.9),0.849 (386.4/455.0),7.0,1468.6,379.4,367.5,69.3,21.0,165.2,6.16,1061.9,537.6,455.0,386.4
25,"John Collins Capela and Gallinari will impact his output, but he's got great shooting %s, which will keep his value high as his counting stats take a dip from last season","PF,C",ATL,65,31.1,0.550 (492.7/896.4),0.792 (135.9/171.6),91.7,1212.9,544.1,98.2,49.4,72.8,122.2,6.11,896.4,492.7,171.6,135.9
26,Shai Gilgeous-Alexander He has managed to improve his fantasy output while maintaining his solid shooting percentages. Will be a quality fantasy option for years to come,"SG,SF",OKL,68,34.9,0.463 (519.5/1122.0),0.804 (296.5/368.6),107.4,1443.0,426.4,328.4,89.8,50.3,163.2,6.06,1122.0,519.5,368.6,296.5
27,Russell Westbrook Westbrook's shooting percentages are looking good now that he's attempting fewer 3-pointers and attacking the rim more. Expect his assists to bounce up a little without having to share the ball as much with Beal as he did with Harden,PG,WAS,67,35.8,0.463 (660.6/1427.1),0.740 (318.3/430.1),62.3,1701.8,561.5,590.3,99.8,24.8,280.7,5.88,1427.1,660.6,430.1,318.3
28,LeBron James LeBron Rule 101: Don't write him off as an elite fantasy player until his body actually breaks down. Might miss games early as LA prepares for another championship run,"PG,SG,SF",LAL,59,34.1,0.495 (558.1/1128.1),0.691 (234.8/339.8),128.0,1479.1,459.6,590.6,69.6,28.9,226.6,5.70,1128.1,558.1,339.8,234.8
29,Kevin Durant If players are forced to play a compact schedule then you can expect Brooklyn to be a little cautious with Durant,"SF,PF",BRO,62,30.6,0.477 (517.7/1085.6),0.861 (330.5/383.8),136.4,1501.0,363.9,249.9,42.2,40.3,212.7,5.67,1085.6,517.7,383.8,330.5
30,"Andre Drummond He's back in Cleveland this season, which is one of the few teams he's still able to produce top fantasy numbers on",C,CLE,70,31.2,0.549 (507.5/924.7),0.565 (178.5/315.7),21.7,1215.2,850.5,148.4,119.0,115.5,259.7,5.67,924.7,507.5,315.7,178.5
31,"Fred VanVleet NBA Finals Fred has evolved into Regular Season VanVleet, and he's a fantasy stud. He'll continue to play a key role in Toronto moving forward","PG,SG",TOR,67,35.6,0.412 (409.4/992.9),0.838 (215.1/256.6),187.6,1222.1,256.6,458.3,125.3,20.8,152.8,5.53,992.9,409.4,256.6,215.1
32,"Ben Simmons An elite fantasy player in punt FT% builds, but it's hard to see him become a top-20 fantasy player until he starts to work on developing his outside game",PG,PHI,65,35.2,0.564 (439.4/778.7),0.634 (215.8/340.6),1.3,1095.9,520.0,524.6,137.8,39.7,229.5,5.50,778.7,439.4,340.6,215.8
33,"Jusuf Nurkic Will be better for the run during the resumption of the NBA season, and the starting job in Portland is his, so long as he's healthy. Should be back to 2018-19 Nurkic this season",C,POR,60,30.1,0.498 (361.8/726.6),0.786 (202.8/258.0),24.0,949.8,585.6,213.0,74.4,93.0,127.8,5.10,726.6,361.8,258.0,202.8
34,Jamal Murray It feels like his playoff bubble performance is going to inflate his value a little too much heading into fantasy drafts,"PG,SG",DEN,68,33.8,0.456 (484.8/1062.8),0.882 (193.8/219.6),161.2,1324.0,291.7,344.1,78.2,19.7,174.8,5.08,1062.8,484.8,219.6,193.8
35,Brook Lopez Brook has found a way to extend his career as a 3-point sniper who's capable of hitting 2+ threes and getting 2+ blocks a game,C,MIL,68,27.7,0.434 (305.3/703.1),0.865 (134.6/155.7),119.7,865.6,315.5,106.8,49.6,161.8,70.7,5.01,703.1,305.3,155.7,134.6
36,"Myles Turner He's not a strong rebounder, and playing next to Sabonis isn't going to help that, but what he does provide is elite shot-blocking, the ability to hit 3s, and not hurt you too much from the free-throw line","PF,C",IND,70,29.8,0.473 (323.4/683.2),0.740 (143.5/193.9),107.8,898.1,474.6,86.1,57.4,151.2,100.8,4.98,683.2,323.4,193.9,143.5
37,"Pascal Siakam Didn't handle the pressure of playoff basketball too well, but he had an off-season to work on it, and won't face the same pressure during the regular season","PF,C",TOR,67,35.1,0.451 (538.7/1193.9),0.796 (259.3/325.6),154.8,1492.1,473.7,220.4,65.0,58.3,162.1,4.98,1193.9,538.7,325.6,259.3
38,"Jonas Valanciunas Finished 52nd in per-game value last season, but Memphis has JJJ and Clarke capable of playing minutes at C. Should still return top 80-90 value this season",C,MEM,70,27.2,0.564 (423.5/750.4),0.747 (147.0/196.7),37.1,1030.4,725.2,140.0,29.4,71.4,133.0,4.75,750.4,423.5,196.7,147.0
39,"Bradley Beal Westbrook getting traded to Washington is going to impact Beal's usage, so expect dips across the board in points, rebounds, and assists","SG,SF",WAS,60,35.0,0.447 (520.8/1165.8),0.836 (386.4/462.0),170.4,1598.4,222.0,300.0,67.8,22.8,193.2,4.74,1165.8,520.8,462.0,386.4
40,"Chris Paul The history of small, 35-year-old point guards isn't on his side, but you can't deny the season he just had in OKC",PG,PHX,61,28.5,0.485 (354.4/731.4),0.874 (198.9/227.5),100.7,1007.7,281.2,391.0,88.5,11.0,134.8,4.70,731.4,354.4,227.5,198.9
41,Christian Wood Westbrook being traded opens up the opportunity for Wood to play a bigger role in Houston's offense,"PF,C",HOU,67,29.5,0.535 (421.4/787.9),0.745 (244.6/328.3),87.8,1175.2,600.3,95.8,42.2,81.1,117.9,4.67,787.9,421.4,328.3,244.6
42,Brandon Clarke Put up top-100 value playing 22 minutes a game last season and is set for his role to increase. Has a fantasy-friendly game with elite FG%,"SF,PF",MEM,68,25.2,0.597 (391.7/656.2),0.766 (115.6/151.0),50.3,948.6,461.0,107.4,46.2,72.1,78.9,4.59,656.2,391.7,151.0,115.6
43,"Collin Sexton At this point, we need to stop looking at Sexton as a PG. He's a score-first combo-guard, who still has potential to improve his assist numbers. He hasn't shown it yet, though","PG,SG",CLE,70,34.9,0.473 (595.7/1260.7),0.858 (266.7/310.8),126.0,1584.1,249.2,259.7,77.7,7.7,189.7,4.58,1260.7,595.7,310.8,266.7
44,"D'Angelo Russell Is in a happier scenario in Minnesota, but there's a chance some of his usage gets eaten into with the player who comes in with the number 1 pick","PG,SG",MIN,67,31.3,0.429 (477.0/1112.2),0.824 (215.7/262.0),228.5,1398.3,241.9,405.4,77.7,19.4,196.3,4.52,1112.2,477.0,262.0,215.7
45,"Ja Morant Had a great rookie season. My only concern is with how ferocious he attacks the rim, given his slender frame. Capable of averaged 20 PTS and 8 AST heading into his second season",PG,MEM,68,33.1,0.474 (491.6/1037.7),0.783 (267.2/341.4),88.4,1338.2,281.5,541.3,74.8,22.4,244.8,4.43,1037.7,491.6,341.4,267.2
46,"Kyle Lowry Had one of the best fantasy seasons of his career, and played a career-high in minutes. All at the age of 34",PG,TOR,60,33.9,0.412 (321.0/780.0),0.848 (288.0/339.6),158.4,1087.8,275.4,432.6,85.8,22.8,175.2,4.34,780.0,321.0,339.6,288.0
47,Tobias Harris Continues to be a roto-friendly player who won't hurt you in any categories,"SF,PF",PHI,70,34.5,0.470 (542.5/1154.3),0.802 (170.1/212.1),127.4,1382.5,476.7,226.8,49.7,42.7,99.4,4.27,1154.3,542.5,212.1,170.1
48,"Domantas Sabonis He's clearly the best big-man on the roster, and his game meshes extremely well with the other starters in Indiana. Expect his high output to continue into this season","PF,C",IND,64,34.2,0.542 (460.8/850.6),0.730 (211.2/289.3),30.7,1163.5,753.9,282.2,42.2,30.1,169.0,4.19,850.6,460.8,289.3,211.2
49,"Kristaps Porzingis His FG% will always be an issue since almost half of his field-goal attempts are from behind the arc, but he makes up for it with his elite shot-blocking. Injuries are the only thing limiting his upside","PF,C",DAL,55,30.8,0.437 (386.7/883.9),0.796 (219.5/275.6),143.0,1135.8,514.8,100.1,38.0,110.6,89.7,4.12,883.9,386.7,275.6,219.5
50,Robert Covington The move to PF did wonders for his already excellent fantasy game (REB went up to 8 and BLK went up to 2.2 per game in a 22 game regular season sample size in Houston),"PF,C",POR,64,33.8,0.424 (275.8/650.2),0.815 (76.2/93.4),166.4,794.2,453.1,90.9,101.8,84.5,113.3,4.10,650.2,275.8,93.4,76.2
51,Brandon Ingram Has proven that he's more than capable of continuing to stuff the stat sheet alongside a healthy Zion,"SF,PF",NOP,64,33.4,0.464 (456.3/983.7),0.805 (269.4/334.7),169.0,1351.0,316.2,222.1,63.4,41.6,190.1,4.06,983.7,456.3,334.7,269.4
52,Jaylen Brown Almost doubled his PTS from last season and increased his output across the board,"SG,SF",BOS,70,34.4,0.477 (539.0/1129.8),0.742 (224.0/301.7),168.0,1470.0,463.4,147.0,84.7,28.7,168.7,4.04,1129.8,539.0,301.7,224.0
53,"Buddy Hield There's still a little more growth left in his game, but he needs to up his steal rate to take his fantasy game to the next level",SG,SAC,70,29.6,0.457 (486.5/1065.4),0.838 (105.0/125.3),263.2,1341.2,302.4,197.4,59.5,13.3,151.2,3.82,1065.4,486.5,125.3,105.0
54,"De'Aaron Fox His good categories are good (48% from the field, 21.1 PTS, 1.5 STL last season), but his bad ones are bad (70.5% from the line). If he can improve on his consistency then he's a chance to break into the top-50",PG,SAC,65,33.6,0.479 (525.9/1097.2),0.719 (317.9/442.0),75.4,1444.3,266.5,481.7,102.7,34.5,211.9,3.76,1097.2,525.9,442.0,317.9
55,"Derrick White His reputation exceeds his output, but when he's producing he's capable of being a top-75 fantasy player","PG,SG",SAS,67,28.1,0.467 (301.5/645.9),0.837 (207.0/247.2),95.8,906.5,255.3,279.4,65.7,67.7,110.6,3.74,645.9,301.5,247.2,207.0
56,"Mitchell Robinson The Mitchell Robinson rollercoaster is set to continue for another season. The potential is there, but he needs to get better on the defensive end (and stop biting at every shot attempt)",C,NYK,68,23.2,0.698 (283.6/406.0),0.568 (91.1/160.5),0.0,658.9,493.7,38.8,62.6,132.6,46.2,3.68,406.0,283.6,160.5,91.1
57,"Dejounte Murray His production started to pick up towards the end of last season, but he's still limited as a fantasy player until he improves his scoring. Can still be a top-80 player without needing to score more than 10 PPG","PG,SG",SAS,67,28.3,0.464 (333.0/718.2),0.824 (103.9/126.0),51.6,821.4,429.5,303.5,126.0,22.1,148.1,3.44,718.2,333.0,126.0,103.9
58,"Mikal Bridges I like what Mikal provides long-term as a 3&D specialist, and his offensive production has started trending in the right direction","SG,SF",PHX,69,31.6,0.482 (265.0/549.2),0.823 (109.0/132.5),105.6,743.8,311.2,140.1,113.9,49.7,104.2,3.36,549.2,265.0,132.5,109.0
59,CJ McCollum Goes from cold-shooting stretches to hitting everything as frequently as any player I've seen in the league (last season there were 3 individual months where he shot 48%+ from the field and 3 individual months where he shot 44% or lower).,"PG,SG",POR,65,34.7,0.456 (561.6/1232.4),0.785 (130.7/166.4),180.1,1433.9,268.5,275.0,53.3,37.7,128.1,3.35,1232.4,561.6,166.4,130.7
60,"Richaun Holmes Everybody's per-minute darling finally scored himself a starting role last season, but he won't be returning top 50 value again with Whiteside fighting him for minutes at C","PF,C",SAC,67,25.3,0.628 (304.9/485.1),0.776 (125.3/161.5),0.0,735.0,484.4,59.6,53.6,77.7,71.7,3.32,485.1,304.9,161.5,125.3
61,Jrue Holiday He's back to playing at an elite level and has minimal competition at either of the guard spots in Milwaukee,"PG,SG",MIL,63,31.4,0.463 (434.7/939.3),0.749 (127.9/170.7),114.0,1111.3,273.4,320.7,93.9,46.6,179.6,3.32,939.3,434.7,170.7,127.9
62,Daniel Theis A solid end-of-roster guy who will put up decent numbers so long as he continues to start,C,BOS,70,26.1,0.553 (282.8/511.7),0.761 (100.1/131.6),38.5,703.5,485.8,119.0,46.2,93.1,66.5,3.22,511.7,282.8,131.6,100.1
63,"Wendell Carter Jr. A roto-friendly big man who can get you clean shooting percentages. Didn't play well under Boylen, but a better coach should be able to get more out of him",C,CHI,67,32.6,0.529 (325.6/615.1),0.742 (198.3/267.3),13.4,863.0,671.3,89.8,60.3,81.7,121.3,3.16,615.1,325.6,267.3,198.3
64,"LaMarcus Aldridge As consistent as they come, and still has another season of high-level play in him, whether it's in San Antonio or another on another roster","PF,C",SAS,58,30.9,0.481 (362.5/754.0),0.835 (164.1/196.6),76.0,965.1,404.8,131.1,38.3,84.1,88.7,3.11,754.0,362.5,196.6,164.1
65,Jarrett Allen Deserves to play more minutes than he does and will again be sharing minutes at C with Jordan,C,BRO,70,26.4,0.642 (301.7/469.7),0.662 (168.7/254.8),0.7,772.8,672.0,98.0,35.0,100.8,84.0,3.10,469.7,301.7,254.8,168.7
