R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL,FGA,FGM,FTA,FTM
216,Andre Iguodala,"SG,SF",MIA,58,19.5,0.451 (107.9/239.0),0.686 (27.8/40.6),40.0,283.6,210.5,136.3,40.0,56.8,73.7,-2.65,239.0,107.9,40.6,27.8
217,"Daniel Gafford A good rim-rummer who can protect the rim, but he has no offensive game outside of the paint. A streamer candidate when he spot-starts.",C,CHI,56,15.5,0.668 (155.7/233.0),0.556 (49.8/89.6),0.0,361.2,264.3,33.6,19.6,77.3,50.4,-2.66,233.0,155.7,89.6,49.8
218,"Goga Bitadze It's always hard for rookies to find minutes on playoff teams when they're stacked in their primary position. The talent is there, but the playing time isn't",C,IND,64,16.4,0.477 (182.4/382.1),0.768 (48.6/63.4),19.2,432.6,226.6,42.2,21.1,74.2,53.1,-2.70,382.1,182.4,63.4,48.6
219,Patty Mills,PG,SAS,60,20.4,0.422 (187.8/444.6),0.883 (85.8/97.2),121.2,583.2,91.8,102.6,45.6,6.0,45.6,-2.71,444.6,187.8,97.2,85.8
220,"Rudy Gay He's still capable of putting up OK numbers in the short-term, but he's not in San Antonio's long-term plans and will likely play a role coming off the bench in 2020-21","SF,PF",SAS,60,19.7,0.441 (220.2/499.2),0.809 (88.8/109.8),60.6,589.2,297.0,93.6,27.6,27.6,71.4,-2.74,499.2,220.2,109.8,88.8
221,Marcus Morris Sr. Not somebody to target in fantasy drafts,"PF,C",LAC,62,26.2,0.423 (190.3/450.1),0.826 (147.6/178.6),78.7,606.4,209.6,54.6,31.0,32.9,65.7,-2.75,450.1,190.3,178.6,147.6
222,Alex Caruso Memes aren't a category so it's hard to see him as anything close to being fantasy relevant,"PG,SG",LAL,68,20.2,0.423 (142.1/335.9),0.733 (82.3/112.2),44.9,410.7,149.6,149.6,82.3,22.4,59.8,-2.77,335.9,142.1,112.2,82.3
223,Vincent Poirier,C,OKL,54,19.1,0.486 (136.1/279.7),0.774 (51.8/67.0),0.0,323.5,339.1,67.0,17.3,67.0,67.0,-2.81,279.7,136.1,67.0,51.8
224,Goran Dragic Don't expect bubble Dragic to return this season,"PG,SG",MIA,48,26.5,0.439 (243.4/554.9),0.762 (144.5/189.6),94.6,726.2,144.5,229.9,31.7,9.1,112.8,-2.84,554.9,243.4,189.6,144.5
225,Josh Jackson,"SG,SF",DET,56,20.6,0.445 (207.2/465.9),0.731 (103.6/141.7),65.0,582.4,194.3,103.6,58.2,25.8,84.0,-2.86,465.9,207.2,141.7,103.6
226,Bobby Portis,"PF,C",MIL,64,20.1,0.449 (243.8/543.4),0.789 (67.2/85.1),60.8,616.3,311.0,91.5,30.7,18.6,67.2,-2.88,543.4,243.8,85.1,67.2
227,Tyus Jones May spend his career as a back-up point guard who sees 18-20 minutes a game. He's a good player but has little fantasy upside,PG,MEM,68,17.1,0.456 (182.9/401.2),0.775 (42.2/54.4),42.2,450.2,91.1,267.2,54.4,6.1,54.4,-2.88,401.2,182.9,54.4,42.2
228,Cory Joseph,PG,SAC,68,23.6,0.421 (157.8/374.7),0.794 (52.4/66.0),52.4,420.9,170.7,230.5,46.2,19.7,72.1,-2.89,374.7,157.8,66.0,52.4
229,T.J. McConnell,"PG,SG",IND,66,16.8,0.473 (178.2/376.9),0.833 (29.7/35.6),7.9,392.7,160.4,269.9,47.5,11.9,83.2,-2.91,376.9,178.2,35.6,29.7
230,"Jakob Poeltl Will spend more time this season coming off the bench and spot-starting. Doesn't have a whole lot of upside, but is capable of getting good rebounding and block numbers when given the minutes",C,SAS,62,12.7,0.624 (111.0/177.9),0.462 (26.7/57.7),0.0,249.2,253.6,80.0,26.7,75.0,35.3,-3.02,177.9,111.0,57.7,26.7
232,"Justise Winslow Should be the opening night SF, but hasn't been able to string together a healthy season for a while, and his shooting %s will hurt you",PF,MEM,60,27.8,0.427 (238.2/558.0),0.644 (73.8/114.6),52.2,602.4,307.8,183.6,57.0,22.8,100.8,-3.04,558.0,238.2,114.6,73.8
231,Chuma Okeke Every chance to see minutes early and could potentially win the starting role if he plays well enough,PF,ORL,58,23.5,0.456 (200.1/439.1),0.710 (63.8/89.9),52.2,516.2,255.2,63.8,46.4,34.8,81.2,-3.04,439.1,200.1,89.9,63.8
233,"Chris Boucher He's older than most people think, but he's somebody to stream in when you need blocks","PF,C",TOR,55,14.4,0.459 (127.6/277.8),0.794 (86.9/109.5),34.7,376.8,255.2,23.1,23.1,57.8,28.6,-3.06,277.8,127.6,109.5,86.9
234,De'Andre Hunter Hunter looks like he'll be one of those better-in-real-life-than-fantasy players,"SF,PF",ATL,68,26.1,0.418 (253.0/604.5),0.766 (97.9/127.8),96.6,701.1,223.0,102.0,46.9,15.6,91.8,-3.07,604.5,253.0,127.8,97.9
235,Doug McDermott,"SF,PF",IND,65,18.8,0.487 (239.2/491.4),0.825 (42.9/52.0),113.8,636.4,153.4,67.6,12.4,5.9,37.1,-3.14,491.4,239.2,52.0,42.9
236,Jae Crowder,"SF,PF",PHX,60,23.2,0.409 (164.4/402.0),0.754 (84.6/112.2),84.6,498.0,249.0,103.8,49.8,15.0,60.0,-3.24,402.0,164.4,112.2,84.6
237,"Jabari Parker He finds himself in a situation where he plays the same position as an important piece of his new team (again), but this time that piece is the often injured Marvin Bagley. Could have some value in the short-term when Bagley is hurt (which happens often)","SF,PF",SAC,50,17.1,0.504 (202.5/401.5),0.760 (55.5/73.0),32.5,493.0,219.5,58.5,42.5,16.5,62.0,-3.28,401.5,202.5,73.0,55.5
238,"Rodney Hood A streamer when he gets hot, but not somebody to roster otherwise","SG,SF",POR,50,24.8,0.501 (172.5/344.5),0.771 (42.0/54.5),81.5,468.5,147.0,63.0,38.5,8.5,38.0,-3.30,344.5,172.5,54.5,42.0
239,Grayson Allen A 3-point streamer when given the playing time,"SG,SF",MEM,60,20.7,0.454 (206.4/454.2),0.835 (66.6/79.8),114.0,593.4,146.4,93.6,19.8,6.6,60.0,-3.32,454.2,206.4,79.8,66.6
240,Patrick Williams,SF,CHI,65,18.7,0.417 (146.3/351.0),0.807 (78.7/97.5),40.3,410.8,206.7,59.2,53.3,36.4,78.7,-3.36,351.0,146.3,97.5,78.7
241,"Luke Kennard The break-out happened last season, but he won't get the playing time in LA to be fantasy relevant","SG,SF",LAC,50,22.9,0.443 (187.0/422.5),0.893 (83.5/93.5),90.0,547.5,124.5,142.0,14.0,7.0,52.0,-3.44,422.5,187.0,93.5,83.5
242,Nicolo Melli,"PF,C",NOP,60,18.1,0.426 (145.8/342.6),0.748 (57.0/76.2),85.8,434.4,190.2,88.8,37.8,25.2,51.0,-3.45,342.6,145.8,76.2,57.0
243,Kentavious Caldwell-Pope,"PG,SG",LAL,60,25.1,0.465 (199.8/429.6),0.735 (64.8/88.2),76.2,541.2,123.6,94.2,46.8,12.0,52.8,-3.46,429.6,199.8,88.2,64.8
244,Pat Connaughton,"SG,SF",MIL,60,18.7,0.460 (122.4/265.8),0.750 (30.6/40.8),49.2,324.6,257.4,97.8,24.6,30.6,49.2,-3.56,265.8,122.4,40.8,30.6
245,Zach Collins Are we still waiting for Zach Collins to do something or has he run out of chances?,"PF,C",POR,56,21.5,0.467 (138.9/297.4),0.767 (25.8/33.6),53.2,356.7,301.8,71.7,24.1,24.1,62.2,-3.57,297.4,138.9,33.6,25.8
246,Moe Harkless,"SF,PF",MIA,60,18.7,0.496 (118.8/239.4),0.625 (27.0/43.2),27.0,291.6,216.0,54.0,54.0,32.4,48.6,-3.58,239.4,118.8,43.2,27.0
247,"Lonnie Walker IV Can score the ball, but he might need another season or two until he becomes an integrated part of the rotation. Somebody to keep on your watch list or to take a flyer on late in drafts","SG,SF",SAS,64,20.4,0.424 (203.5/480.0),0.732 (59.5/81.3),82.6,549.1,186.9,89.6,48.6,16.0,57.0,-3.58,480.0,203.5,81.3,59.5
248,Avery Bradley,"SG,SF",MIA,60,23.4,0.449 (204.0/454.2),0.816 (24.0/29.4),75.6,507.6,139.8,75.6,52.2,6.0,58.2,-3.62,454.2,204.0,29.4,24.0
249,"Eric Gordon At this point in his career, he's a 3PM and PTS streamer","SG,SF",HOU,58,28.1,0.388 (288.8/745.3),0.786 (136.3/173.4),156.0,870.6,109.6,86.4,34.8,17.4,69.6,-3.62,745.3,288.8,173.4,136.3
250,Kent Bazemore,"SG,SF",GSW,60,18.7,0.457 (145.2/318.0),0.765 (54.6/71.4),54.6,399.0,167.4,58.8,42.0,29.4,58.8,-3.65,318.0,145.2,71.4,54.6
251,"Sekou Doumbouya Still raw, but he's a great athlete who thrives in the open court and has the tools to become a good 3&D player. Detroit doesn't have a great track record in developing players, but that just means there's less youth ahead of him if he can crack the rotation. He should continue to get minutes this season","SF,PF",DET,67,24.6,0.436 (260.0/596.3),0.688 (66.3/96.5),58.3,645.2,304.9,41.5,48.2,23.5,101.8,-3.67,596.3,260.0,96.5,66.3
252,Ish Smith,PG,WAS,60,18.1,0.446 (186.0/417.0),0.753 (40.2/53.4),37.2,449.4,132.0,202.2,37.2,16.8,57.6,-3.71,417.0,186.0,53.4,40.2
253,"Dewayne Dedmon He's not somebody to roster in most formats, but he can still have value when he spot-starts",C,DET,58,17.2,0.426 (150.8/353.8),0.823 (29.6/36.0),35.4,366.6,284.2,29.0,23.2,52.2,63.8,-3.71,353.8,150.8,36.0,29.6
254,Taj Gibson,"PF,C",NYK,60,15.1,0.587 (148.2/252.6),0.753 (38.4/51.0),5.4,340.2,236.4,43.8,22.2,27.6,38.4,-3.71,252.6,148.2,51.0,38.4
255,Austin Rivers,"PG,SG",NYK,64,23.9,0.413 (206.7/500.5),0.719 (73.6/102.4),93.4,580.5,173.4,113.3,46.7,13.4,46.7,-3.73,500.5,206.7,102.4,73.6
256,Ben McLemore,"SG,SF",HOU,64,20.4,0.418 (198.4/474.9),0.719 (41.0/57.0),145.9,583.7,128.6,46.7,35.2,11.5,41.0,-3.77,474.9,198.4,57.0,41.0
257,Wesley Matthews There are better 3-point streamers available,"SG,SF",LAL,68,24.2,0.403 (168.6/418.2),0.788 (53.0/67.3),108.1,498.4,161.8,94.5,40.8,6.8,40.8,-3.85,418.2,168.6,67.3,53.0
258,"Keldon Johnson He's behind quite a few players on the depth chart in San Antonio, so his opportunity is limited in the short-term, but he has the potential to be a good 2-way player",SF,SAS,40,21.1,0.530 (147.2/277.6),0.801 (99.6/124.4),38.0,432.0,161.2,42.8,38.0,4.8,38.0,-3.86,277.6,147.2,124.4,99.6
259,Kyle Anderson It looks like the Kyle Anderson experiment is over in Memphis,"SF,PF",MEM,63,16.2,0.470 (117.2/249.5),0.670 (41.0/61.1),20.2,295.5,219.2,122.2,41.0,30.2,50.4,-3.87,249.5,117.2,61.1,41.0
260,"D.J. Augustin Has been replaced by Fultz in the starting lineup, and it doesn't look like he'll be getting his spot back any time soon",PG,MIL,60,18.3,0.421 (138.6/329.4),0.874 (121.2/138.6),52.2,451.2,95.4,199.8,25.8,0.0,64.8,-3.89,329.4,138.6,138.6,121.2
261,Landry Shamet Hard to see him become fantasy relevant on the Nets roster,"PG,SG",BRO,64,24.2,0.406 (168.3/414.7),0.841 (71.0/84.5),117.8,524.8,106.9,106.9,22.4,10.9,44.8,-3.93,414.7,168.3,84.5,71.0
262,Aleksej Pokusevski,SF,OKL,60,17.2,0.402 (127.2/316.2),0.780 (42.6/54.6),48.6,345.6,241.2,84.6,30.6,36.6,67.2,-4.00,316.2,127.2,54.6,42.6
263,Wes Iwundu,"SG,SF",ORL,62,18.3,0.423 (144.5/341.6),0.790 (114.1/144.5),46.5,448.3,197.2,91.1,37.8,14.9,37.8,-4.05,341.6,144.5,144.5,114.1
264,Trey Lyles Can put up numbers when he spot-starts. Don't expect him to become a consistent,"PF,C",SAS,58,18.1,0.446 (130.5/292.9),0.723 (27.3/37.7),54.5,341.6,309.1,59.7,21.5,21.5,32.5,-4.06,292.9,130.5,37.7,27.3
265,Marquese Chriss Put up numbers in a depleted Golden State team last season. Hard to see him doing it again,"PF,C",GSW,44,14.4,0.555 (114.0/205.5),0.770 (63.4/82.3),5.3,296.6,196.2,60.3,22.0,34.8,40.9,-4.08,205.5,114.0,82.3,63.4
266,Facundo Campazzo,PG,DEN,56,17.5,0.417 (126.0/302.4),0.792 (53.2/67.2),67.2,372.4,112.0,210.0,42.0,1.1,100.8,-4.12,302.4,126.0,67.2,53.2
267,Jeff Green,"SF,PF,C",BRO,64,17.2,0.454 (152.3/335.4),0.800 (97.3/121.6),67.2,468.5,164.5,42.9,24.3,18.6,55.0,-4.15,335.4,152.3,121.6,97.3
268,"Grant Williams He's a high energy guy off the bench, but his ceiling is capped as a role player","SF,PF",BOS,64,18.4,0.449 (114.6/255.4),0.730 (51.8/71.0),26.2,307.2,211.8,73.6,32.0,38.4,60.8,-4.20,255.4,114.6,71.0,51.8
269,"Taurean Prince Is somebody to keep an eye on if Durant misses games, but he's not worth rosterting in a backup role.","SF,PF",BRO,64,18.4,0.402 (180.5/448.6),0.791 (46.1/58.2),90.2,497.3,192.0,71.0,38.4,13.4,76.8,-4.24,448.6,180.5,58.2,46.1
270,Torrey Craig,"SG,SF",MIL,62,18.7,0.452 (130.2/288.3),0.656 (26.0/39.7),50.8,337.3,198.4,45.3,26.0,36.0,26.7,-4.28,288.3,130.2,39.7,26.0
271,"Kris Dunn He's not going provide anything outside of steals, but a player like Dunn still holds value as an end of bench/streamer type player when you need a boost in steals.","PG,SG",ATL,50,16.1,0.446 (105.0/235.5),0.776 (29.5/38.0),25.0,265.0,109.5,115.0,59.5,13.0,50.5,-4.31,235.5,105.0,38.0,29.5
272,"Alex Len Loses some value in the move to Sacramento, there should be better options available on the waiver wire","PF,C",TOR,54,14.2,0.554 (146.3/264.1),0.649 (52.9/81.5),16.2,361.8,236.0,40.5,20.5,32.4,40.5,-4.31,264.1,146.3,81.5,52.9
273,Ersan Ilyasova,"SF,PF",MIL,60,14.7,0.441 (129.0/292.2),0.803 (66.0/82.2),45.0,369.6,269.4,45.0,22.2,16.8,28.2,-4.35,292.2,129.0,82.2,66.0
274,"Naz Reid His potential to be a great per-minute guy off the bench, but the path to big minutes won't be there unless KAT gets hurt",C,MIN,58,14.5,0.411 (167.0/406.6),0.719 (60.9/84.7),55.7,450.7,207.6,60.9,30.2,35.4,35.4,-4.37,406.6,167.0,84.7,60.9
275,Reggie Bullock,"SG,SF",NYK,57,21.8,0.411 (170.4/414.4),0.814 (32.5/39.9),80.9,454.3,123.7,75.2,48.5,5.1,37.6,-4.37,414.4,170.4,39.9,32.5
276,Trey Burke,PG,DAL,60,18.2,0.462 (205.8/445.8),0.710 (42.6/60.0),51.6,505.2,120.0,180.0,25.8,0.0,58.2,-4.52,445.8,205.8,60.0,42.6
277,Cody Martin The twin that played more games.,"SG,SF",CHA,60,18.4,0.440 (112.2/255.0),0.650 (55.8/85.8),40.2,320.4,211.2,121.2,45.6,15.0,55.8,-4.54,255.0,112.2,85.8,55.8
278,"Reggie Jackson Might provide low-end value when he spot-starts, but shouldn't be on your radar come draft day","PG,SG",LAC,64,20.5,0.383 (228.5/597.1),0.792 (80.6/101.8),93.4,631.0,122.9,216.3,25.6,4.5,67.8,-4.55,597.1,228.5,101.8,80.6
279,DeMarcus Cousins Cousins will have to prove he's healthy before we can consider him a viable fantasy option this season,"PF,C",HOU,30,23.2,0.488 (98.7/202.2),0.722 (76.2/105.6),28.5,302.1,183.9,57.9,26.4,33.6,65.1,-4.66,202.2,98.7,105.6,76.2
280,"Kevin Knox II Didn't have a good rookie season, and regressed across the board in his second season","SF,PF",NYK,64,23.7,0.402 (180.5/448.6),0.697 (88.3/126.7),75.5,524.2,202.2,65.3,34.6,28.8,62.7,-4.66,448.6,180.5,126.7,88.3
281,Dwight Howard,C,PHI,60,14.2,0.691 (132.6/192.0),0.517 (73.2/141.6),0.0,338.4,338.4,31.8,18.0,50.4,54.6,-4.68,192.0,132.6,141.6,73.2
282,Robin Lopez,C,WAS,60,15.4,0.490 (140.4/286.8),0.684 (39.0/57.0),31.8,351.6,153.0,44.4,12.6,44.4,63.6,-4.72,286.8,140.4,57.0,39.0
283,"Malik Monk WIll start the season on the inactive list as he serves a suspension, and could see himself fall further behind on the depth chart depending on how new acquisitions play.","PG,SG",CHA,44,21.2,0.445 (164.1/368.7),0.848 (63.8/75.2),51.5,443.5,115.3,87.1,20.2,12.3,59.8,-4.75,368.7,164.1,75.2,63.8
284,Boban Marjanovic,C,DAL,44,10.7,0.565 (137.7/243.8),0.761 (53.2/70.0),4.8,333.5,238.9,35.6,9.7,18.0,40.0,-4.79,243.8,137.7,70.0,53.2
285,Nickeil Alexander-Walker Still very raw and we may not see much of him again this season,"SG,SF",NOP,60,20.2,0.409 (151.8/371.4),0.721 (37.2/51.6),69.6,410.4,124.8,131.4,27.6,13.8,75.6,-4.99,371.4,151.8,51.6,37.2
286,"Dennis Smith Jr. Had a forgettable season, but the starting point guard spot is still up for grabs with a new coach (Thibs) heading to New York",PG,NYK,58,22.7,0.375 (181.0/483.1),0.559 (73.7/131.7),55.7,491.3,196.0,246.5,68.4,16.8,144.4,-5.16,483.1,181.0,131.7,73.7
287,Garrett Temple,"PG,SG",CHI,66,18.2,0.389 (161.0/414.5),0.769 (46.2/60.1),87.1,454.7,130.7,29.7,29.7,20.5,48.8,-5.21,414.5,161.0,60.1,46.2
288,Thon Maker,"PF,C",CLE,56,13.5,0.475 (100.2/211.1),0.667 (75.0/112.6),25.2,300.2,175.3,43.7,25.2,37.5,49.8,-5.27,211.1,100.2,112.6,75.0
289,Willie Cauley-Stein The move to Dallas doesn't bode well for his fantasy output this season,"PF,C",DAL,40,10.5,0.605 (88.4/146.0),0.577 (16.4/28.4),0.0,193.2,173.2,36.4,20.4,28.4,36.4,-5.29,146.0,88.4,28.4,16.4
290,Rajon Rondo,PG,ATL,50,16.5,0.426 (116.5/273.5),0.667 (24.0/36.0),36.0,294.0,120.5,201.0,32.0,0.0,76.5,-5.31,273.5,116.5,36.0,24.0
291,Nassir Little Still very raw. We won't be seeing much of Little with Covington in Portland,SF,POR,55,16.1,0.435 (124.3/286.0),0.671 (55.0/82.0),32.5,335.5,203.0,46.2,27.5,27.5,42.4,-5.32,286.0,124.3,82.0,55.0
292,Cole Anthony,PG,ORL,56,15.6,0.409 (137.2/335.4),0.777 (56.6/72.8),62.7,393.7,135.5,112.6,24.1,1.7,67.8,-5.46,335.4,137.2,72.8,56.6
293,Bruce Brown Won't get the opportunity to play as much as he did in Detroit last season,SG,BRO,42,17.2,0.454 (91.6/201.6),0.763 (42.0/55.0),15.5,240.7,108.4,100.0,29.0,13.0,44.5,-5.60,201.6,91.6,55.0,42.0
294,Sterling Brown,"SG,SF",HOU,58,12.1,0.444 (103.8/233.7),0.742 (28.4/38.3),38.3,274.3,167.0,47.6,28.4,4.6,38.3,-5.69,233.7,103.8,38.3,28.4
295,Khem Birch,"PF,C",ORL,54,18.4,0.500 (77.8/155.5),0.667 (72.4/108.5),0.0,227.9,238.1,51.8,20.5,25.9,31.3,-5.78,155.5,77.8,108.5,72.4
296,Jordan McLaughlin,PG,MIN,30,18.4,0.492 (82.2/167.1),0.691 (25.5/36.9),28.2,218.1,45.3,119.1,31.2,2.7,28.2,-5.79,167.1,82.2,36.9,25.5
297,"Jordan Poole Definitely isn't shy to shoot, but the opportunity won't be there to be a consistent contributor this season","PG,SG",GSW,58,17.8,0.341 (138.6/406.0),0.809 (81.2/100.3),73.7,432.7,100.3,114.8,29.0,9.9,62.1,-5.86,406.0,138.6,100.3,81.2
298,Caleb Martin The twin that can hit free-throws.,"SG,SF",CHA,30,18.6,0.432 (75.6/174.9),0.731 (31.8/43.5),45.9,228.6,83.4,46.2,27.3,15.6,40.2,-5.87,174.9,75.6,43.5,31.8
299,"Robert Williams In a position battle for the back-up C spot, which doesn't bode well for his fantasy output",C,BOS,24,14.2,0.728 (50.6/69.6),0.669 (19.0/28.3),0.0,120.0,101.5,21.1,19.0,27.6,16.8,-5.88,69.6,50.6,28.3,19.0
300,Omari Spellman,PF,NYK,40,14.2,0.433 (81.6/188.4),0.792 (47.2/59.6),28.4,238.4,141.2,31.2,22.0,15.6,34.4,-5.89,188.4,81.6,59.6,47.2
301,Mike Scott,PG,PHI,54,15.1,0.423 (103.7/245.2),0.795 (18.9/23.8),56.2,281.9,173.9,37.8,14.0,4.9,18.9,-5.90,245.2,103.7,23.8,18.9
302,Justin Jackson,"SF,PF",OKL,65,12.6,0.424 (126.1/297.7),0.789 (36.4/46.2),39.0,327.6,130.0,50.7,14.3,14.3,22.1,-5.94,297.7,126.1,46.2,36.4
303,Tyrese Maxey,SG,PHI,52,17.2,0.391 (116.0/296.4),0.779 (42.1/54.1),42.1,316.2,105.6,104.5,26.5,8.3,58.2,-5.97,296.4,116.0,54.1,42.1
304,Isaac Bonga,"SF,PF",WAS,51,14.1,0.469 (68.3/145.9),0.773 (38.3/49.5),15.3,190.2,129.5,45.9,26.5,11.2,34.2,-6.00,145.9,68.3,49.5,38.3
305,Shaquille Harrison,"PG,SG,SF",CHI,40,10.2,0.449 (68.4/152.4),0.771 (36.4/47.2),16.4,189.6,74.4,44.0,32.4,16.4,24.0,-6.00,152.4,68.4,47.2,36.4
306,Saddiq Bey,SF,DET,60,13.4,0.430 (95.4/222.0),0.699 (30.6/43.8),43.2,264.0,163.2,42.6,18.6,12.6,48.6,-6.03,222.0,95.4,43.8,30.6
307,Tony Bradley,C,UTA,38,10.1,0.668 (74.1/111.0),0.620 (16.7/27.0),3.4,168.3,155.0,13.3,6.8,20.1,16.7,-6.07,111.0,74.1,27.0,16.7
308,Ky Bowman,PG,GSW,44,13.5,0.440 (87.6/198.9),0.895 (22.4/25.1),19.8,217.4,73.0,81.4,28.2,5.7,44.9,-6.08,198.9,87.6,25.1,22.4
309,Kira Lewis Jr,PG,NOP,50,14.2,0.403 (111.0/275.5),0.772 (39.0/50.5),37.5,298.5,82.0,106.0,21.5,10.5,55.5,-6.12,275.5,111.0,50.5,39.0
310,Bismack Biyombo,C,CHA,52,14.1,0.538 (106.6/198.1),0.605 (64.5/106.6),0.0,277.7,221.0,34.3,7.8,34.3,34.3,-6.13,198.1,106.6,106.6,64.5
311,Georges Niang,"SF,PF",UTA,50,12.8,0.444 (99.5/224.0),0.811 (15.0/18.5),64.0,278.0,87.0,32.0,13.5,4.5,23.0,-6.13,224.0,99.5,18.5,15.0
312,Aaron Nesmith,"SG,SF",BOS,50,14.5,0.404 (115.5/286.0),0.752 (39.5/52.5),56.0,326.5,113.0,35.0,21.0,11.0,38.0,-6.17,286.0,115.5,52.5,39.5
313,Cheick Diallo,"PF,C",PHX,40,9.4,0.668 (74.0/110.8),0.878 (26.0/29.6),0.0,174.0,103.6,18.4,7.2,11.2,26.0,-6.20,110.8,74.0,29.6,26.0
314,Ryan Arcidiacono,PG,CHI,50,14.1,0.415 (70.5/170.0),0.750 (22.5/30.0),49.5,213.0,85.0,75.5,20.5,5.0,30.0,-6.20,170.0,70.5,30.0,22.5
315,Desmond Bane,"PG,SG",MEM,44,16.7,0.423 (93.3/220.4),0.805 (30.8/38.3),44.4,262.2,89.3,44.4,18.5,9.2,35.6,-6.23,220.4,93.3,38.3,30.8
316,Damyean Dotson,SG,NYK,44,17.1,0.417 (108.2/259.6),0.733 (19.4/26.4),53.7,289.1,82.3,51.9,21.6,4.4,17.2,-6.27,259.6,108.2,26.4,19.4
317,Devin Vassell,SG,SAS,38,14.0,0.429 (77.5/180.9),0.746 (20.1/27.0),38.4,213.6,78.3,34.6,20.9,15.6,28.9,-6.27,180.9,77.5,27.0,20.1
318,Jevon Carter,PG,PHX,40,12.8,0.439 (53.2/121.2),0.795 (12.4/15.6),34.0,153.2,62.8,44.0,25.2,9.6,15.6,-6.31,121.2,53.2,15.6,12.4
319,Gary Clark,"SF,PF",ORL,40,14.8,0.394 (65.2/165.6),0.800 (16.0/20.0),50.0,196.4,110.4,35.2,5.2,20.0,5.2,-6.32,165.6,65.2,20.0,16.0
320,Patrick McCaw,"SG,SF",TOR,38,22.3,0.410 (62.3/152.0),0.720 (13.7/19.0),20.9,159.2,79.4,72.6,38.0,3.4,27.7,-6.33,152.0,62.3,19.0,13.7
321,Kenrich Williams,"SF,PF",NOP,35,19.4,0.379 (49.7/131.3),0.616 (18.6/30.1),26.6,144.6,155.1,48.7,22.8,16.1,19.3,-6.43,131.3,49.7,30.1,18.6
